ins_code,isin,cisin,l18,l30
27218386411183410,IRO1SDOR0001,IRO1SDOR0008,سدور,سیمان‌ دورود
64942549055019553,IRT1SARV0001,IRT1SARV0001,سرو,صندوق س سروسودمند مدبران-سهام
11964419322927535,IRO1SROD0001,IRO1SROD0008,سرود,سیمان‌شاهرود
35948133957468680,IRO3SARZ0001,IRO3SARZ0006,سرچشمه,سرمایه گذاری مس سرچشمه
26997316501080743,IRO1SSHR0001,IRO1SSHR0000,سشرق,سیمان‌ شرق‌
6757220448540984,IRO1SIMS0001,IRO1SIMS0004,سشمال,سیمان‌ شمال‌
10568944722570445,IRO1SEFH0001,IRO1SEFH0000,سصفها,سیمان‌اصفهان‌
13227300125161435,IRO1SSOF0001,IRO1SSOF0005,سصوفی,سیمان‌ صوفیان‌
21096748051392414,IRO3GHIZ0001,IRO3GHIZ0004,سغدیر,توسعه سرمایه و صنعت غدیر
52220424531578944,IRO1SGRB0001,IRO1SGRB0000,سغرب,سیمان‌غرب‌
41227201752535311,IRO1SFRS0001,IRO1SFRS0002,سفار,سیمان‌فارس‌
15521712617204216,IRO1SFKZ0001,IRO1SFKZ0000,سفارس,سیمان فارس و خوزستان
4686607974846832,IRO7SFAP0001,IRO7SFAP0008,سفارود,کارخانه فارسیت درود
34721884030854211,IRO7SFSP0001,IRO7SFSP0008,سفاسی,شرکت فارسیت اهواز
4528607775462304,IRO1SFNO0001,IRO1SFNO0000,سفانو,سیمان فارس نو
60654872678917533,IRO1SGEN0001,IRO1SGEN0001,سقاین,سیمان‌ قائن‌
61664227282090067,IRO7LARP0001,IRO7LARP0001,سلار,شرکت سیمان لارستان
70541934393301867,IRT1FASA0001,IRT1FASA0000,سلام,صندوق س سلام فارابی-سهام
51390991364277477,IRO3SLIM0001,IRO3SLIM0009,سلیم,سرمایه گذاری سلیم
33808206014018431,IRO1SMAZ0001,IRO1SMAZ0003,سمازن,سیمان‌مازندران‌
40473515538481093,IRT1SRVT0001,IRT1SRVT0000,سمان,صندوق س ثروت پویا-بخشی
43913530989262989,IRO7IBKZ0001,IRO7IBKZ0000,سمایه,بانک سرمایه
58035444268544991,IRO7CMKP0001,IRO7CMKP0005,سمتاز,سیمان ممتازان کرمان
46741025610365786,IRO3IMFZ0001,IRO3IMFZ0008,سمگا,گروه سرمایه گذاری میراث فرهنگی
36995197800118822,IRO7IENP0001,IRO7IENP0006,سنوین,سرمایه گذاری اقتصاد نوین
14231831499205396,IRO1SSNR0001,IRO1SSNR0002,سنیر,سیمان‌ سفید نی‌ریز
53536131398384570,IRR1SSNR0101,IRR1SSNR0104,سنیرح,ح . سیمان‌ سفیدنی‌ریز
71266020070603888,IRT3SAHF0001,IRT3SAHF0001,سهامدار,صندوق س. بازده سهام-س
29747059672582491,IRO1SHZG0001,IRO1SHZG0004,سهرمز,سیمان‌هرمزگان‌
41284516796232939,IRO1SHGN0001,IRO1SHGN0008,سهگمت,سیمان‌هگمتان‌
40126421241992147,IRT3SORF0001,IRT3SORF0003,سورنافود,صندوق س.بخشی صنایع سورنا2-ب
71856634742001725,IRO1SEPK0001,IRO1SEPK0003,سپ,پرداخت الکترونیک سامان کیش
14487893434887556,IRE9P2M20201,IRE9P2M20204,سپااردیب,بار پایه سبز اردیبهشت
43736143155667457,IRE9P2M30201,IRE9P2M30203,سپاخرداد,بار پایه سبز خرداد
20227534128058326,IRE9P2M10201,IRE9P2M10205,سپافرورد,بار پایه سبز فروردین
35669480110084448,IRO1SSEP0001,IRO1SSEP0005,سپاها,سیمان‌سپاهان‌
67223870501587101,IRR1SEPK0101,IRR1SEPK0105,سپح,ح . پرداخت الکترونیک سامان کیش
17226661368470120,IRT1SEPR0001,IRT1SEPR0005,سپر,صندوق س سپر سرمایه بیدار- ثابت
